institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Central Bank of India,Self-employed,825,839,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Central Bank of India,Salaried,790,790,CIBIL 750–799,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%,SBI,7.35%
Central Bank of India,Self-employed,790,790,CIBIL 750–799,7.25%,Bank of Baroda,7.35%,Bank of India,7.35%,SBI,7.35%
Central Bank of India,Salaried,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Central Bank of India,Self-employed,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
ICICI Bank,Salaried,600,600,CIBIL 600–649,9.05%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
ICICI Bank,Self-employed,600,600,CIBIL 600–649,9.20%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
ICICI Bank,Salaried,625,622,CIBIL 600–649,8.90%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
ICICI Bank,Self-employed,625,622,CIBIL 600–649,9.05%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
ICICI Bank,Salaried,675,677,CIBIL below 700,8.60%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
ICICI Bank,Self-employed,675,677,CIBIL below 700,8.75%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
ICICI Bank,Salaried,725,737,CIBIL 700–749,8.10%,HDFC Bank,7.80%,SBI,7.85%,Axis Bank,7.95%
ICICI Bank,Self-employed,725,737,CIBIL 700–749,8.25%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
ICICI Bank,Salaried,775,778,CIBIL 750–799,7.65%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
ICICI Bank,Self-employed,775,778,CIBIL 750–799,7.80%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
ICICI Bank,Salaried,825,839,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
ICICI Bank,Self-employed,825,839,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
ICICI Bank,Salaried,790,790,CIBIL 750–799,7.55%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
ICICI Bank,Self-employed,790,790,CIBIL 750–799,7.70%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
ICICI Bank,Salaried,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
ICICI Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
HDFC Bank,Salaried,600,600,CIBIL 600–649,8.75%,SBI,8.70%,Axis Bank,8.90%,ICICI Bank,9.05%
HDFC Bank,Self-employed,600,600,CIBIL 600–649,8.90%,SBI,8.90%,Axis Bank,9.05%,ICICI Bank,9.20%
HDFC Bank,Salaried,625,622,CIBIL 600–649,8.60%,SBI,8.55%,Axis Bank,8.75%,ICICI Bank,8.90%
HDFC Bank,Self-employed,625,622,CIBIL 600–649,8.75%,SBI,8.75%,Axis Bank,8.90%,ICICI Bank,9.05%
HDFC Bank,Salaried,675,677,CIBIL below 700,8.30%,SBI,8.30%,Axis Bank,8.45%,ICICI Bank,8.60%
HDFC Bank,Self-employed,675,677,CIBIL below 700,8.45%,SBI,8.45%,Axis Bank,8.60%,ICICI Bank,8.75%
HDFC Bank,Salaried,725,737,CIBIL 700–749,7.80%,SBI,7.85%,Axis Bank,7.95%,ICICI Bank,8.10%
HDFC Bank,Self-employed,725,737,CIBIL 700–749,7.95%,SBI,7.95%,Axis Bank,8.10%,ICICI Bank,8.25%
HDFC Bank,Salaried,775,778,CIBIL 750–799,7.35%,Central Bank of India,7.35%,Axis Bank,7.50%,ICICI Bank,7.65%
HDFC Bank,Self-employed,775,778,CIBIL 750–799,7.50%,Central Bank of India,7.40%,Axis Bank,7.65%,ICICI Bank,7.80%
HDFC Bank,Salaried,825,839,CIBIL 800+,7.15%,Bank of India,7.10%,Axis Bank,7.30%,ICICI Bank,7.45%
HDFC Bank,Self-employed,825,839,CIBIL 800+,7.30%,Bank of India,7.10%,Axis Bank,7.45%,ICICI Bank,7.60%
HDFC Bank,Salaried,790,790,CIBIL 750–799,7.25%,Central Bank of India,7.25%,Axis Bank,7.40%,ICICI Bank,7.55%
HDFC Bank,Self-employed,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Axis Bank,7.55%,ICICI Bank,7.70%
HDFC Bank,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Axis Bank,7.30%,ICICI Bank,7.45%
HDFC Bank,Self-employed,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,Axis Bank,7.45%,ICICI Bank,7.60%
Axis Bank,Salaried,600,600,CIBIL 600–649,8.90%,SBI,8.70%,HDFC Bank,8.75%,ICICI Bank,9.05%
Axis Bank,Self-employed,600,600,CIBIL 600–649,9.05%,HDFC Bank,8.90%,SBI,8.90%,ICICI Bank,9.20%
Axis Bank,Salaried,625,622,CIBIL 600–649,8.75%,SBI,8.55%,HDFC Bank,8.60%,ICICI Bank,8.90%
Axis Bank,Self-employed,625,622,CIBIL 600–649,8.90%,HDFC Bank,8.75%,SBI,8.75%,ICICI Bank,9.05%
Axis Bank,Salaried,675,677,CIBIL below 700,8.45%,HDFC Bank,8.30%,SBI,8.30%,ICICI Bank,8.60%
Axis Bank,Self-employed,675,677,CIBIL below 700,8.60%,HDFC Bank,8.45%,SBI,8.45%,ICICI Bank,8.75%
Axis Bank,Salaried,725,737,CIBIL 700–749,7.95%,HDFC Bank,7.80%,SBI,7.85%,ICICI Bank,8.10%
Axis Bank,Self-employed,725,737,CIBIL 700–749,8.10%,HDFC Bank,7.95%,SBI,7.95%,ICICI Bank,8.25%
Axis Bank,Salaried,775,778,CIBIL 750–799,7.50%,Central Bank of India,7.35%,HDFC Bank,7.35%,ICICI Bank,7.65%
Axis Bank,Self-employed,775,778,CIBIL 750–799,7.65%,Central Bank of India,7.40%,HDFC Bank,7.50%,ICICI Bank,7.80%
Axis Bank,Salaried,825,839,CIBIL 800+,7.30%,Bank of India,7.10%,HDFC Bank,7.15%,ICICI Bank,7.45%
Axis Bank,Self-employed,825,839,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.30%,ICICI Bank,7.60%
Axis Bank,Salaried,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,HDFC Bank,7.25%,ICICI Bank,7.55%
Axis Bank,Self-employed,790,790,CIBIL 750–799,7.55%,Central Bank of India,7.25%,HDFC Bank,7.40%,ICICI Bank,7.70%
Axis Bank,Salaried,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,HDFC Bank,7.15%,ICICI Bank,7.45%
Axis Bank,Self-employed,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.30%,ICICI Bank,7.60%
Kotak Mahindra Bank,Salaried,600,600,CIBIL 600–649,9.25%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
Kotak Mahindra Bank,Self-employed,600,600,CIBIL 600–649,9.50%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
Kotak Mahindra Bank,Salaried,625,622,CIBIL 600–649,9.10%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
